date,exchange_rate
2009-01-02,0
2009-01-05,0
2009-01-08,0
2009-01-11,0
2009-01-14,0
2009-01-17,0
2009-01-20,0
2009-01-23,0
2009-01-26,0
2009-01-29,0
2009-02-01,0
2009-02-04,0
2009-02-07,0
2009-02-10,0
2009-02-13,0
2009-02-16,0
2009-02-19,0
2009-02-22,0
2022-02-05,41435.43
2022-02-08,44133.28
2022-02-11,42401.27
2022-02-14,42580.94
2022-02-17,40565.69
2022-02-20,38382.32
2022-02-23,37291.48
2022-02-26,39103.91
2022-03-01,44418.83
2022-03-04,39141.25
2022-03-07,38032.5
2022-03-10,39437.89
2022-03-13,37820.39
